timestamp,connections,running_threads,cpu,memory,disk
1771702764.291802,3,2,42.6,83.9,36.6
1771702774.3078253,3,2,32.1,81.5,36.6
1771702784.3272045,3,2,17.6,81.8,36.6
1771702794.3421283,3,2,19.7,82.0,36.6
1771702804.3586748,3,2,25.1,81.8,36.6
1771702814.3731189,3,2,19.1,82.1,36.6
1771702824.4028323,3,2,15.9,82.0,36.6
1771702834.4290664,3,2,13.3,81.9,36.6
1771702844.449642,3,2,15.3,82.1,36.6
1771702854.4672122,3,2,20.2,81.9,36.6
1771702864.4834511,3,2,16.4,81.5,36.6
1771702874.5039685,3,2,14.6,81.6,36.6
1771702884.5199885,3,2,19.0,81.8,36.6
1771702894.5407162,3,2,14.7,81.7,36.6
1771702904.5580485,3,2,18.6,81.5,36.6
1771702914.5757577,3,2,27.8,82.5,36.6
1771702924.6038487,3,2,25.4,81.8,36.6
1771702934.622139,3,2,25.8,82.0,36.6
1771702944.6411684,3,2,21.2,82.2,36.6
1771702954.668684,3,2,28.7,83.6,36.6
1771702964.6896436,3,2,17.9,83.6,36.6
1771702974.7136397,3,2,16.6,83.9,36.6
1771702984.7412972,3,2,33.5,83.7,36.6
1771702994.7594845,3,2,67.1,86.1,36.6
1771703004.7856488,3,2,76.6,87.0,36.6
1771703014.8072867,3,2,61.4,82.6,36.6
1771703024.8276277,3,2,18.8,83.0,36.6
1771703034.845452,3,2,14.9,82.8,36.6
1771703044.8668363,3,2,28.1,83.9,36.6
1771703054.8816032,3,2,26.9,83.5,36.6
1771703064.9016385,3,2,21.0,83.4,36.6
1771703074.9228537,3,2,25.3,84.1,36.6
1771703084.9537516,3,2,22.3,84.2,36.6
1771703094.9796646,3,2,26.4,84.4,36.6
1771703104.9978786,3,2,27.1,84.4,36.6
1771703115.015014,3,2,25.2,84.2,36.6
1771703125.0334702,3,2,21.7,84.3,36.6
1771703135.0524235,3,2,23.2,84.4,36.6
1771703145.076591,3,2,29.5,85.3,36.6
1771703155.0937982,3,2,25.4,85.3,36.6
1771703165.1134186,3,2,28.4,86.5,36.6
1771703175.1350796,3,2,26.3,83.9,36.6
1771703185.1520698,3,2,25.4,83.0,36.6
1771703195.1712906,3,2,25.6,83.9,36.6
1771703205.1926558,3,2,24.6,84.4,36.6
1771703215.210702,3,2,22.8,84.1,36.6
1771703225.2327328,3,2,21.1,83.2,36.6
1771703235.2553098,3,2,20.8,83.5,36.6
1771703245.2829614,3,2,23.2,84.7,36.6
1771703255.3013926,3,2,24.9,85.3,37.3
1771703265.32095,3,2,19.4,84.8,37.3
1771703275.3408632,3,2,21.9,84.7,37.3
1771703285.3588188,3,2,21.1,84.9,37.3
1771703295.379442,3,2,22.9,85.7,37.3
1771703305.4027267,3,2,17.8,85.5,37.3
1771703315.420263,3,2,19.0,85.5,37.3
1771703325.4380395,3,2,20.1,86.1,37.3
1771703335.4587948,3,2,16.2,86.1,37.3
1771703345.4771545,3,2,17.9,86.1,37.3
1771703355.4953375,3,2,15.4,86.2,37.3
1771703365.5145135,3,2,13.9,86.0,37.3
1771703375.531612,3,2,14.4,86.0,37.3
1771703385.55245,3,2,17.0,87.4,37.3
1771703395.5765245,3,2,30.0,84.9,37.3
1771703405.5932386,3,2,23.8,84.8,37.3
1771703415.608545,3,2,26.0,85.8,37.3
1771703425.632366,3,2,29.9,85.6,37.3
1771703435.6565645,3,2,32.7,86.9,37.3
1771703445.6779866,3,2,44.0,87.8,37.3
1771703455.6992843,3,2,36.6,88.8,37.3
1771703465.7200758,3,2,19.8,88.3,37.3
1771703475.743146,3,2,14.7,88.2,37.3
1771703485.7631054,3,2,17.1,87.0,37.3
1771703495.7869868,3,2,15.7,87.4,37.3
1771703505.8202648,3,2,23.2,89.0,37.3
1771703515.8400798,3,2,24.5,88.8,37.3
1771703525.8662722,3,2,24.0,89.8,37.3
1771703535.8874068,3,2,15.3,89.8,37.3
1771703545.9192998,3,2,17.6,89.8,37.3
1771703555.9440243,3,2,29.8,91.4,37.3
1771703565.9702458,3,2,31.7,92.2,37.3
1771703575.9924054,3,2,29.2,92.2,37.3
1771703586.0157325,3,2,24.3,92.5,37.3
1771703596.0408063,3,2,22.2,92.2,37.3
1771703606.0644233,3,2,24.8,92.5,37.3
1771703616.089691,3,2,23.7,92.4,37.3
1771703626.1125004,3,2,24.9,92.4,37.3
1771703636.135263,3,2,25.6,93.2,37.3
1771703646.154342,3,2,33.4,94.9,37.3
1771703656.1755674,3,2,27.2,95.5,37.3
1771703666.1928551,3,2,20.9,95.2,37.3
1771703676.2141953,3,2,16.9,95.4,37.3
1771703686.2310185,3,2,9.5,95.1,37.3
1771703696.2487888,3,2,12.0,95.2,37.3
1771703706.2698565,3,2,11.6,95.0,37.3
1771703716.285806,3,2,9.6,95.0,37.3
1771703726.304095,3,2,10.8,95.0,37.3
1771703736.3198044,3,2,9.8,95.1,37.3
1771703746.3355973,3,2,13.7,94.0,37.3
1771703756.3513274,3,2,15.7,89.4,37.3
1771703766.3673089,3,2,12.7,89.5,37.3
1771703776.3846195,3,2,11.7,89.4,37.3
1771703786.400357,3,2,10.1,89.5,37.3
1771703796.4144385,3,2,10.7,89.5,37.3
1771703806.4301832,3,2,9.6,89.4,37.3
1771703816.4457881,3,2,11.4,89.4,37.3
1771703826.4613125,3,2,14.7,90.6,37.3
1771703836.4769695,3,2,8.4,90.7,37.3
1771703846.4942346,3,2,10.5,90.7,37.3
1771703856.5102422,3,2,15.6,91.1,37.3
1771703866.5287006,3,2,18.3,90.7,37.3
1771703876.5477555,3,2,17.8,91.1,37.3
1771703886.5700405,3,2,21.8,91.6,37.3
1771703896.595163,3,2,25.4,90.3,37.3
1771703906.6174135,3,2,18.9,91.1,37.3
1771703916.6336274,3,2,21.0,91.1,37.3
1771703926.6508312,3,2,17.4,90.9,37.3
1771703936.6708977,3,2,16.5,91.5,37.3
1771703946.6972585,3,2,21.1,91.6,37.3
1771703956.7150714,3,2,18.8,92.1,37.3
1771703966.7329087,3,2,17.4,92.4,37.3
1771703976.7579942,3,2,26.9,92.6,37.3
1771703986.7766972,3,2,20.8,92.0,37.3
1771703996.794208,3,2,15.3,92.0,37.3
1771704006.8108554,3,2,18.4,91.7,37.3
1771704016.8368845,3,2,16.7,91.8,37.3
1771704026.8597069,3,2,15.7,91.5,37.3
1771704036.8843114,3,2,22.6,92.4,37.3
1771704046.9082122,3,2,20.3,92.5,37.3
1771704056.9304118,3,2,31.8,92.5,37.3
1771704066.965646,3,2,51.3,95.1,37.3
1771704077.0015485,3,2,21.0,88.5,37.3
1771704087.0260782,3,2,13.3,87.9,37.3
1771704097.0514185,3,2,12.6,87.5,37.3
1771704107.0711513,3,2,12.8,87.5,37.3
1771704117.1187534,3,2,22.2,89.4,37.3
1771704127.143596,3,2,16.6,88.8,37.3
1771704137.1590595,3,2,12.7,88.7,37.3
1771704147.1781375,3,2,22.2,89.0,37.3
1771704157.200515,3,2,17.5,89.6,37.3
1771704167.2210627,3,2,15.6,90.4,37.3
1771704177.2407615,3,2,21.3,91.7,37.3
1771704187.2676446,3,2,25.1,90.7,37.3
1771704197.2904203,3,2,15.2,91.2,37.3
1771704207.3081357,3,2,14.1,91.3,37.3
1771704217.3244681,3,2,10.8,90.8,37.3
1771704227.3407626,3,2,14.5,90.9,37.3
1771704237.359504,3,2,13.0,91.1,37.3
1771704247.3795688,3,2,14.2,91.4,37.3
1771704257.4004426,3,2,17.8,91.9,37.3
1771704267.4206676,3,2,16.0,91.8,37.3
1771704277.4381216,3,2,11.8,91.1,37.3
1771704287.453368,3,2,15.0,90.9,37.3
1771704297.4740975,3,2,22.6,91.5,37.3
1771704307.4916832,3,2,15.5,91.8,37.3
1771704317.5129344,3,2,18.1,91.6,37.3
1771704327.531983,3,2,22.5,92.5,37.3
1771704337.5517738,3,2,18.0,93.1,37.3
1771704347.572597,3,2,24.4,88.2,37.3
1771704357.5986373,3,2,30.7,89.4,37.3
1771704367.623506,3,2,28.1,87.6,37.3
1771704377.647177,3,2,41.3,89.4,38.3
1771704387.6675181,3,2,17.4,88.8,38.3
1771704397.6849592,3,2,22.8,89.4,38.3
1771704407.7142596,3,2,29.9,91.0,38.4
1771704417.736362,3,2,46.6,91.1,38.4
1771704427.8155596,3,2,34.3,90.2,38.4
1771704437.8375854,3,2,38.9,92.4,38.4
1771704447.860211,3,2,74.6,94.3,38.4
1771704457.8990314,3,2,84.5,96.1,38.4
1771704467.9248207,3,2,58.5,92.7,38.4
1771704477.946287,3,2,49.3,94.5,38.4
1771704487.9677954,3,2,38.5,94.0,38.4
1771704497.9865746,3,2,44.9,91.4,38.4
1771704508.023812,3,2,38.7,93.1,38.4
1771704518.0534515,3,2,34.5,90.6,38.4
1771704528.0725844,3,2,15.4,89.6,38.4
1771704538.0925207,3,2,21.0,89.9,38.4
1771704548.1389997,3,2,18.8,90.6,38.4
1771704558.1562889,3,2,14.3,90.5,38.4
1771704568.1732805,3,2,17.6,91.8,38.4
1771704578.2806187,3,2,16.4,91.6,38.4
1771704588.3060205,3,2,20.9,90.8,38.4
1771704598.3257957,3,2,20.2,90.8,38.4
1771704608.3647063,3,2,25.5,92.8,38.4
1771704618.3932261,3,2,23.2,93.6,38.4
1771704628.4181933,3,2,17.3,92.6,38.4
1771704638.447619,3,2,13.5,92.6,38.4
1771704648.4673886,3,2,14.7,92.7,38.4
1771704658.4876072,3,2,26.6,85.1,38.4
1771704668.5018036,3,2,13.3,82.7,38.4
1771704678.5194185,3,2,10.7,82.8,38.4
1771704688.540575,3,2,16.9,82.7,38.4
1771704698.5641954,3,2,24.0,84.2,38.4
1771704708.5918055,3,2,15.9,84.2,38.4
1771704718.6191308,3,2,14.2,83.7,38.4
1771704728.6440034,3,2,13.5,83.5,38.4
1771704738.6697605,3,2,14.3,83.9,38.4
1771704748.6945682,3,2,14.4,84.1,38.4
1771704758.717933,3,2,18.1,84.4,38.4
1771704768.7431846,3,2,13.3,84.5,38.4
1771704778.7731373,3,2,21.4,84.9,38.4
1771704788.799765,3,2,20.7,84.7,38.4
1771704798.821344,3,2,18.4,84.7,38.4
1771704808.8528864,3,2,16.9,86.1,38.4
1771704818.8701875,3,2,19.5,86.4,38.4
1771704828.8891497,3,2,15.7,86.2,38.4
1771704838.909427,3,2,16.7,86.6,38.4
1771704848.9305437,3,2,16.3,87.5,38.4
1771704858.9516618,3,2,7.8,87.7,38.4
1771704868.9671335,3,2,14.0,88.1,38.4
1771704878.995936,3,2,22.9,88.4,38.4
1771704889.0192885,3,2,24.1,88.6,38.4
1771704899.0476608,3,2,22.4,85.9,38.4
1771704909.0660777,3,2,24.8,86.4,38.4
1771704919.0851831,3,2,13.2,86.2,38.4
1771704929.1061084,3,2,7.5,86.1,38.4
1771704939.1304169,3,2,15.6,85.7,38.4
1771704949.1499612,3,2,11.3,85.5,38.4
1771704959.1695943,3,2,13.2,85.7,38.4
1771704969.2046242,3,2,20.2,84.7,38.4
1771704979.2250922,3,2,12.0,86.6,38.4
1771704989.2440228,3,2,13.5,85.2,38.4
1771704999.262432,3,2,13.8,85.2,38.4
1771705009.2852774,3,2,12.1,85.0,38.4
1771705019.3028703,3,2,10.6,84.8,38.4
1771705029.327522,3,2,14.5,84.8,38.4
1771705039.346179,3,2,12.8,84.8,38.4
1771705049.3637326,3,2,7.0,85.3,38.4
